title,link,date,content_snippet
Kenapa Sudah Lolos Verifikasi BSU tapi Belum Cair?,https://www.cnnindonesia.com/ekonomi/20250624055652-92-1243048/kenapa-sudah-lolos-verifikasi-bsu-tapi-belum-cair,2025-06-27,"Calon penerima bantuan subsidi upah (BSU) mulai bertanya mengapa uang Rp600 ribu yang dijanjikan Presiden Prabowo Subianto belum kunjung cair, padahal sudah lolos verifikasi."
Larry Ellison Orang Terkaya Ke-2 di Dunia Usai Saham Oracle Meroket,https://www.cnnindonesia.com/ekonomi/20250624052424-92-1243035/larry-ellison-orang-terkaya-ke-2-di-dunia-usai-saham-oracle-meroket,2025-06-27,Pendiri sekaligus Chief Technology Officer (CTO) Oracle Larry Ellison kembali merebut posisi sebagai orang terkaya kedua di dunia setelah saham perusahaannya melonjak tajam ke rekor tertinggi sepanjang masa pekan ini.
Asosiasi Pengusaha Dukung Pemerintah Pajaki Pedagang Online,https://www.cnnindonesia.com/ekonomi/20250627023949-92-1244359/asosiasi-pengusaha-dukung-pemerintah-pajaki-pedagang-online,2025-06-27,"Asosiasi Pengusaha Indonesia mendukung rencana Menteri Keuangan (Menkeu) Sri Mulyani memajaki pelapak atau penjual di e-commerce seperti Shopee, Tokopedia, TikTok Shop, Lazada, dan Bukalapak cs."
"IIHF 2025, ESQ Halal Center Rekrut Ribuan P3H Perkuat Ekosistem Halal",https://www.cnnindonesia.com/ekonomi/20250621221725-625-1242360/iihf-2025-esq-halal-center-rekrut-ribuan-p3h-perkuat-ekosistem-halal,2025-06-21,"ESQ Halal Center menunjukkan komitmennya dalam memperkuat ekosistem halal nasional dan mendukung visi Indonesia menjadi pusat halal dunia. Komitmen itu diwujudkan dengan ESQ berpartisipasi aktif dalam Indonesia International Halal Festival (IIHF) 2025, yang berlangsung di Jakarta Convention Center pada 20-22 Juni 2025."
Kemenko Perekonomian Apresiasi Smelter PTFI Beroperasi Lebih Cepat,https://www.cnnindonesia.com/ekonomi/20250621211856-625-1242350/kemenko-perekonomian-apresiasi-smelter-ptfi-beroperasi-lebih-cepat,2025-06-21,"Kementerian Koordinator Bidang Perekonomian memberikan apresiasi tinggi kepada PT Freeport Indonesia (PTFI) atas percepatan operasional smelter di Kawasan Ekonomi Khusus (KEK) Gresik. Smelter tersebut berhasil beroperasi kembali sejak pertengahan Mei 2025, lebih cepat dari jadwal semula di pekan ketiga Juni."
"Jangan Lupa ke Transmart Full Day Sale Besok, Ada Diskon 50% + 20%",https://www.cnnindonesia.com/ekonomi/20250620162042-97-1241985/jangan-lupa-ke-transmart-full-day-sale-besok-ada-diskon-50-20,2025-06-21,"Jangan lupa ke Transmart ya besok soalnya Transmart Full Day Sale kembali lagi, Minggu (22/6). Di pesta diskon ini, Transmart kasih diskon 50 persen dan ekstra diskon 20 persen selama seharian!"
ID Survey Edukasi Pengunjung soal Ruang Lingkup-Produk Halal,https://www.cnnindonesia.com/ekonomi/20250621191755-92-1242332/id-survey-edukasi-pengunjung-soal-ruang-lingkup-produk-halal,2025-06-21,Staf di both lembaga pemeriksa halal ID Survey memberi edukasi ke pengunjung soal cakupan bidang mereka terkait sertifikasi halal.
Besok Sepeda Listrik Diskon 25% + 20% di Transmart Full Day Sale,https://www.cnnindonesia.com/ekonomi/20250620173808-97-1242021/besok-sepeda-listrik-diskon-25-20-di-transmart-full-day-sale,2025-06-21,Transmart Full Day Sale kembali lagi Minggu (22/6) dengan diskon gede-gedean hingga 25% + 20% untuk sepeda listrik.
Mutu Internasional Apresiasi UMKM yang Raih Sertifikat Halal,https://www.cnnindonesia.com/ekonomi/20250621190456-92-1242329/mutu-internasional-apresiasi-umkm-yang-raih-sertifikat-halal,2025-06-21,"Perusahaan yang melayani jasa testing, inspection, dan certification (TIC) PT Mutu Internasional memberi apresiasi ke Usaha Mikro, Kecil, dan Menengah (UMKM) karena mengantongi sertifikasi halal."
Indonesia Tegaskan Komitmen Kerja Sama Strategis dengan Rusia,https://www.cnnindonesia.com/ekonomi/20250621191258-97-1242330/indonesia-tegaskan-komitmen-kerja-sama-strategis-dengan-rusia,2025-06-21,Pemerintah Indonesia kembali menegaskan komitmennya dalam memperkuat kerja sama strategis di berbagai bidang dengan Rusia.
Anggur dan Pear Century Diskon 20% di Transmart Full Day Sale,https://www.cnnindonesia.com/ekonomi/20250621074056-97-1242147/anggur-dan-pear-century-diskon-20-di-transmart-full-day-sale,2025-06-21,"Transmart Full Day Sale akan kembali digelar besok, Minggu (22/6), tebar diskon seharian. Aneka buah segar juga diskon 20 persen selama gelaran ini."
Kemnaker & Kemenpar Jalin Kerja Sama Dorong Daya Saing SDM Pariwisata,https://www.cnnindonesia.com/ekonomi/20250621182758-97-1242323/kemnaker-kemenpar-jalin-kerja-sama-dorong-daya-saing-sdm-pariwisata,2025-06-21,Menteri Ketenagakerjaan (Menaker) Yassierli dan Menteri Pariwisata (Menpar) Widiyanti Putri Wardhana menandatangani Kesepahaman Bersama tentang 'Sinergi Program di Bidang Ketenagakerjaan dalam Rangka Peningkatan Daya Saing SDM Pariwisata' di Gedung Sapta Pesona Kemenpar Jakarta pada Jumat (20/6).
Tebus Murah Aneka Barang Elektronik di Transmart Full Day Sale Besok,https://www.cnnindonesia.com/ekonomi/20250620163413-97-1241989/tebus-murah-aneka-barang-elektronik-di-transmart-full-day-sale-besok,2025-06-21,"Transmart Full Day Sale kembali lagi besok, Minggu (22/6). Saatnya tebus murah, karena aneka barang elektronik seperti AC hingga Smart TV, diskon gede-gedean!"
BPJPH Tengah Susun Aturan Baru Mudahkan Sertifikasi Halal UKM,https://www.cnnindonesia.com/ekonomi/20250622182619-92-1242572/bpjph-tengah-susun-aturan-baru-mudahkan-sertifikasi-halal-ukm,2025-06-22,Badan Penyelenggara Jaminan Produk Halal (BPJPH) tengah menyusun aturan untuk mempermudah pelaku usaha kecil menengah (UKM mendapatkan sertifikasi halal.
BPJPH Sebut Banyak Pelaku Usaha Tak Tertib Sertifikasi Halal,https://www.cnnindonesia.com/ekonomi/20250622181531-92-1242571/bpjph-sebut-banyak-pelaku-usaha-tak-tertib-sertifikasi-halal,2025-06-22,"Badan Penyelenggara Jaminan Produk Halal (BPJPH) mengungkap masih banyak usaha yang tidak memiliki sertifikasi halal di Indonesia. Bukan karena tak mampu, melainkan banyak pelaku yang tak tertib dan meremehkan."
BPJPH Buka 10 Ribu Lowongan Jadi Pendamping Sertifikat Halal,https://www.cnnindonesia.com/ekonomi/20250622164956-625-1242511/bpjph-buka-10-ribu-lowongan-jadi-pendamping-sertifikat-halal,2025-06-22,Badan Penyelenggara Jaminan Produk Halal (BPJPH) membuka lowongan bagi 10.000 orang untuk menjadi pendamping sertifikasi halal.
Kulkas SBS Banting Harga Gede-gedean di Transmart Full Day Sale,https://www.cnnindonesia.com/ekonomi/20250620171115-97-1242001/kulkas-sbs-banting-harga-gede-gedean-di-transmart-full-day-sale,2025-06-22,"Transmart Full Day Sale datang lagi hari ini, Minggu (22/6), kulkas side by side (SBS) banting harga jutaan rupiah, dari harga normal Rp9 juta jadi Rp6 jutaan."
Pramono Resmi Ubah Logo dan Nama Bank DKI Jadi Bank Jakarta,https://www.cnnindonesia.com/ekonomi/20250622160732-92-1242502/pramono-resmi-ubah-logo-dan-nama-bank-dki-jadi-bank-jakarta,2025-06-22,Gubernur DKI Jakarta Pramono Anung meresmikan perubahan nama dan logo Bank DKI menjadi Bank Jakarta.
"Smart TV 50 Inch Turun Harga Jadi Rp3,9 Jutaan di Transmart Hari Ini",https://www.cnnindonesia.com/ekonomi/20250620171539-97-1242005/smart-tv-50-inch-turun-harga-jadi-rp39-jutaan-di-transmart-hari-ini,2025-06-22,"Beli Smart TV 65 inch di Transmart Full Day Sale hari ini, Minggu (22/6) pasti cuan, soalnya lagi turun harga gede-gedean. Sayang banget kalau dilewatkan!"
Kemnaker Benchmarking ke BPK untuk Tingkatkan Kualitas JDIH,https://www.cnnindonesia.com/ekonomi/20250622151633-97-1242494/kemnaker-benchmarking-ke-bpk-untuk-tingkatkan-kualitas-jdih,2025-06-22,Kementerian Ketenagakerjaan (Kemnaker) berupaya meningkatkan kualitas layanan dokumentasi dan informasi hukum digital melalui kegiatan benchmarking ke Badan Pemeriksa Keuangan (BPK) pada Jumat (20/6).
Kemnaker Percepat Transformasi Ketenagakerjaan Lewat 5 Program Andalan,https://www.cnnindonesia.com/ekonomi/20250622153440-97-1242497/kemnaker-percepat-transformasi-ketenagakerjaan-lewat-5-program-andalan,2025-06-22,"Kementerian Ketenagakerjaan (Kemnaker) menerapkan lima strategi utama guna menciptakan ekosistem ketenagakerjaan yang adaptif, inklusif, dan berdaya saing."
"MUTU International Dukung BPJPH, Percepat Sertifikasi Halal UMKM",https://www.cnnindonesia.com/ekonomi/20250622142450-625-1242480/mutu-international-dukung-bpjph-percepat-sertifikasi-halal-umkm,2025-06-22,"PT Mutuagung Lestari Tbk (Mutu International) menyatakan komitmennya untuk mendukung percepatan sertifikasi halal bagi pelaku usaha mikro, kecil, dan menengah (UMKM)."
KPPU Restui Akuisisi Tokopedia oleh Tiktok dengan 5 Syarat,https://www.cnnindonesia.com/ekonomi/20250618203325-92-1241236/kppu-restui-akuisisi-tokopedia-oleh-tiktok-dengan-5-syarat,2025-06-18,Komisi Pengawas Persaingan Usaha (KPPU) memberikan persetujuan bersyarat atas pengambilalihan saham atau akuisisi PT Tokopedia oleh TikTok Nusantara (SG) Pte. Ltd (TikTok Nusantara).
Bos Badan Gizi Buka Suara soal Viral Menu MBG Bahan Mentah di Tangsel,https://www.cnnindonesia.com/ekonomi/20250618202756-92-1241233/bos-badan-gizi-buka-suara-soal-viral-menu-mbg-bahan-mentah-di-tangsel,2025-06-18,"Kepala Badan Gizi Nasional (BGN) Dadan Hindayana buka suara terkait beredarnya unggahan di media sosial mengenai pembagian menu Makan Bergizi Gratis (MBG) berupa bahan mentah di wilayah Tangerang Selatan, Banten."
Bos BPJP: Ayam Goreng Widuran Belum Pernah Daftar di Badan Halal,https://www.cnnindonesia.com/ekonomi/20250618200142-92-1241224/bos-bpjp-ayam-goreng-widuran-belum-pernah-daftar-di-badan-halal,2025-06-18,Kepala Badan Penyelenggara Jaminan Produk Halal (BPJPH) Haikal Hasan alias Babe Haikal menyebut  restoran Ayam Goreng Widuran di Solo belum pernah mendaftar sebagai pelaku usaha bersertifikat halal.
